Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Siddharth K.,1.0,8/11/2023,4,GA,"The new Kedai Makan has been disappointing throughout. Today's experience was the icing on the cake where they denied us service at 10.05pm for a 10pm reservation because their ""kitchen was closed"". I cant understand how a restaurant would accept a 10pm reservation but deny entry 5 mins later. And this is when they were accepting reservations till 10.15pm. Thanks for a great friday night - I will never come back again."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Alison C.,1.0,9/12/2019,26,WA,"Horrible horrible horrible service. They want you in and out and that's it, not worth it. Ruined our whole night"
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Arpita B.,1.0,2/22/2019,24,WA,Had a very bad experience. Very long wait. Didn't like the food. Not at all worth the wait.
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Nina G.,2.0,3/9/2024,9,NY,"While the lack of takeout was infuriating at the old Kedai, I have gotta say the new one skimps on portion sizes and the out-of-this-galaxy flavor. You literally bought the recipes from the owners, why not stick to them? Take the flavors and portions they pushed out and add takeout - you will see a healthy profit AND a loyal fan base. For now, I'm holding off on this place again until they find the essence of their food, again."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Kelly B.,2.0,9/29/2015,49,WA,"What was wrong with the old menu that we all knew and loved? Add drinks and seating, then it would have been perfect. But the new menu is nothing special, unfortunately."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Sienna K.,3.0,2/27/2024,3,WA,"What we took away - I wasn't impressed. None of the dishes stood out. Kerabu Mangga - the mix of ripe and semi ripe mangoes in the salad didn't work, i was so excited to order it. The fried rice was too salty to taste on its own. It came with a sweet chilli sauce which was helpful. The pork ribs were good, but they were dry. I had heard good things about this place but maybe we caught them on a bad day."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Kaylyn T.,3.0,2/3/2023,1,WA,"The original Kedai Makan was one of my favorite restaurants in Seattle, but the new version is a bit of a disappointment. The new location has its pros (much bigger, almost no wait times, nice ambience) but seems to be missing what the original was known for--fantastic food. While the menu is similar, the quality of the food has gone downhill at the new location and the prices have gone up. The texture of the roti net bread was off, the dhal was super oily and missing the depth of flavor it once had, and the nasi goreng could best be described as ""okay"". The new location might be worth trying for an introduction to Malaysian food, but if you've visited the old, I'm not sure it'll live up to expectations. I was really looking forward to seeing this place come back to life, but I will not be returning."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Amy W.,3.0,1/16/2023,8,WA,"kedai makan would rate 3.5/5 stars. I really wanted to try this place before they close. Overall, the food was good but just not sure it was worth the hype. I waited in line since 10:30am to put my name down and got a table for 5pm. Their jala was delicious but other vegetarian options were ok. The pudding with longan berries was great!"
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Edwiny D.,3.0,5/4/2021,5,WA,"They had a variety of dishes but I believe they could cook better. I guess they have to serve a crowd so they do it fast and some out of it remains uncooked. And some part of it was a little burnt assuming it got overcooked a little. They are good on the quantity , have to match up on the quality."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=0,Ajay C.,3.0,9/3/2019,395,WA,"A recipe has no soul. The cook must bring soul to recipe. I would say this place partially succeeded in doing the job. I think it's a 3.5*, here is why -Ordered -Kerabu Timun Nanas : cold salad heavily loaded with peanuts and some curry powder I guess. Pineapple and cucumber are my favorite things on this world and this salad ruined it for me.Cocolife : rum, coconut cream and curry powder? Looks interesting right? Tasted like 2/5. Highly not recommended.Roti Jala: sounds like an Indian origin. Best of all the dishes I ordered. If you have tried rice crepes before, roti just tastes like that. Side of dal tasted delicious though.Malay fried peanuts: flavored peanuts that are crispy and tasty.Wait times are crazy, waited close to 1.5hrs. You see more than 4.5*, but honestly I'm not impressed."
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=10,J D.,3.0,4/4/2018,1,WA,the food was good...and we would go there again.
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=10,Myles H.,3.0,1/8/2018,5,WA,They make me wait for an extra hour. They could be more honest about it. In California restaurants will give you a complimentary drink or something. Last time here. There are plenty of good places in Seattle.
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=10,Ronnie S.,4.0,11/14/2024,9,WA,The food was absolutely delicious--big portions and full of flavor. The staff was incredibly friendly and seemed to genuinely love the food they were serving.
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=10,Donna B.,4.0,2/7/2024,18,WA,Oysters tasted great and fresh! They were the highlight. Tikka masala chicken katsu was an interesting fusion dish. It was good but not something I feel like i need to get again. I think I like the loco moco with scotch egg more. Seems like their menu rotates though since I didn't see some of the items I saw on yelp on their menu. Food was definitely on the pricier side but maybe thats expected from this being more of a bar? 3.5/5
Kedai Makan,https://www.yelp.com/not_recommended_reviews/kedai-makan-seattle-4?not_recommended_start=10,Christine P.,4.0,1/29/2024,28,WA,"The menu items here were what drew me in to this spot and they did not disappoint. For a party of two, we definitely ordered more with our eyes, but everything just sounded so good that it was hard not to! We had the oysters, Seattle dog musubi, and loco moco scotch egg. The loco moco scotch egg was actually so filling that I had a good amount of leftovers. Looking forward to returning soon since service was friendly and attentive, and the food was tasty. I still need to try the oxtail risotto and tikka tonkatsu don!Highly recommend making reservations in advance, as the restaurant tends to get full pretty often."
