The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Andres V.,1.0,5/1/2024,"Performative staff, the quintessential passive-aggressive cool kids manager, speaks to Latino employees like they're dumb and have no senses. Yay, how liberal!"
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Kai H.,1.0,2/10/2024,i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate i hate
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Alex H.,1.0,12/23/2023,I go to this place often to grab some oysters. Usually have a great experience. Whoever was the hostess tonight made me never want to return. I walk in at 10:25 to be seated and am told their kitchen closes at 10:30. Which is odd cause I've never been told this especially cause I only order oysters and a few drink around this time and day. Needless to say I won't be back.
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,emily c.,1.0,10/11/2023,"I am still reeling from shock of how horribly myself and my family were treated. I, visibly pregnant, was seated at a table with a bench on one side and 2 chairs on the other. My 2yo and 5yo were both sitting with me on the bench side waiting for my husband to arrive. There were 3 other similar tables next to us, all still unseated. The hostess kindly brought us crayons for my children to color on the paper laid across the table. My daughter was coloring, never straying once from our table. My son was guardian of the crayons. On three occasions, my *near 2yo* screamed loudly ""MINE!"" when my daughter went for a crayon. I am well aware this is less than ideal. It is a phase he is in, screeching any time he is excited or mad or expressing emotions. Before and after each of those moments, he was calm and happy and just fine. Each time he did it, I did my best to get him to stop immediately. We had been there all but 10 minutes. The manager, Christopher Fischbach, approached me and said ""You are going to have to reign this in."" I asked ""excuse me?"" And he said ""you are going to have to reign this in. We can't have your children running around and the screaming will have to stop."" I replied that my daughter hadn't left the table once and then asked how he suggest I stop my not yet 2yo son from screaming?"" He said he didn't know. I asked ""and what if I can't? Will we be escorted out?"" And he said ""if it is excessive, maybe so. We have to seat these other tables.""At this point I was so incredulous, I could not believe this was being said to a paying customer, let alone the fact that a child was being targeted. I asked if this was routine for them, he did not reply and he walked away. I still cannot believe this happened. I am appalled. I am ashamed to say that we stayed, but I refuse to be bullied. Yeah, they got my money, but I have my dignity. And I hope Christopher (who, no, does not have children of his own) treats families trying their absolute best with the respect they deserve moving forward. He was a pretty massive disappointment to humanity tonight.Do yourself a favor and don't waste your money here. The food was not remotely worth what they lack entirely in service."
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Spider M.,1.0,1/15/2023,"Transphobic environment. As you've probably gathered, my partner is a transgender woman and I fully support/love her, we were eating at the Old Spaghetti Factory in Southcenter when my partner said she felt someone staring at her, I was going to assure her that kno one was staring, however, I was appalled to see this kid working there standing in the kitchen entrance pointing at her, I stared the kid down until he walked away. I immediately asked for the manager, the manager who came over to help us was completely drunk, he asked us if we were sure he was pointing at us, and he offered to pay for our food. This place is a whole bundle of bad memories for us now. Time to go to Cheesecake Factory instead."
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Steve K.,1.0,9/13/2022,"No sign out front. Just a door painted pink. When we finally found it, it wasn't open yet but someone came to the door and said that if we wanted to wait until they opened in 20 minutes we probably couldn't get seated right away because we didn't have reservations. Kind of a snotty attitude as well. So we just walked away."
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Robster G.,1.0,7/4/2022,"The food and service doesn't matter for this review. Our waitress wore a t-shirt that said ""My Body, My Choice, My Abortion"". I don't care what your beliefs on this topic are. Any establishment with such little class and decency that would allow an employee to dress like this isn't worthy of visiting. Shameful."
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Jacob L.,1.0,3/15/2022,This is the worst restaurant I have ever been too. I would give them negative stars if I could.
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Helen B.,1.0,5/30/2021,If I could give thus place zero stars I would. They are racist!!!!DO NOT EAT HERE!!!!!
The Pink Door,https://www.yelp.com/not_recommended_reviews/the-pink-door-seattle-4?not_recommended_start=0,Mickey M.,1.0,6/20/2020,I went there and I noticed the door. IT WASN'T PINK! Why?! Please paint it pink! Never go here again if they don't paint this door!
